step,time,rms_residual,max_residual
0.0,0.0,2.329074595315716,4.650745842521115
5.0,0.275,1.9192237973965498,3.9517590335292634
10.0,0.55,1.5116173127470305,3.144585280359478
15.0,0.825,1.1310924156583104,2.3950728762133724
20.0,1.1,0.7822316631128445,1.74815373382954
25.0,1.375,0.49094487057217695,1.1720655892530585
30.0,1.65,0.2930535376843863,0.7568778579216798
35.0,1.925,0.17476616484244026,0.45078613207832857
40.0,2.2,0.10631476133900358,0.2408641655032794
45.0,2.475,0.06654522580547811,0.12931381465993702
50.0,2.75,0.042987911139453085,0.08470349299734128
55.0,3.025,0.028353928801317273,0.05556524418341463
60.0,3.3,0.0190696615783036,0.03665175335900513
65.0,3.575,0.01309398575161295,0.025389155649518907
