i,group,x1,x2,omega1,omega2,A1,A2,res1,res2,lambda_min,lambda_max,anisotropy,detG,logdetG,lambda_radial,lambda_tangent,ratio_tangent_radial
130,0,0.42669111497852424,0.16447207084196408,1.0062579773375426,0.44276855135813314,1.011810106965482,0.4446180463716811,-0.005552129627939273,-0.0018494950135479749,2.086782772068588,2.460541878568563,1.1791078168282338,5.134616402150158,1.6360051379903688,2.089979907175599,2.457344743461552,1.1757743387985053
131,0,0.4267122900315299,0.16447246516071856,1.0062579773375426,0.44276855135813314,1.0118620714498108,0.44461682170189476,-0.005604094112268143,-0.0018482703437616155,2.0867970090124066,2.4606349410855435,1.179144368359076,5.134845635328731,1.6360497816489705,2.089995048165375,2.4574369019325757,1.175809915956378
135,0,0.4267289430019468,0.16448872195759848,1.0062579773375426,0.44276855135813314,1.0119011576989418,0.44466241298826303,-0.005643180361399214,-0.0018938616301298894,2.0868350577110664,2.4607122044003273,1.1791598934988883,5.135100495080081,1.6360994137985778,2.0900298147408973,2.457517447370495,1.1758288948979205
138,0,0.42666675301660006,0.16450500934778892,1.0062579773375426,0.44276855135813314,1.01174659513873,0.44471694567960185,-0.005488617801187479,-0.001948394321468705,2.086822734519841,2.4604434021659403,1.1790380473941242,5.13450922863923,1.6359842650329652,2.090010476697824,2.4572556599879585,1.1757145178862332
144,0,0.42735093154808595,0.16455985370791654,1.0062579773375426,0.44276855135813314,1.013420826892631,0.4448001304452071,-0.007162849555088391,-0.0020315790870739647,2.087350142841263,2.4634598229316502,1.180185236952356,5.142103213280092,1.637462181236585,2.0905562246198524,2.46025374115306,1.1768416999166973
146,0,0.42691448694941325,0.1645097504087102,1.0062579773375426,0.44276855135813314,1.0123545193465422,0.44470296495523404,-0.0060965420089995614,-0.0019344135971008924,2.0869889677227675,2.4615319888229505,1.179465740783895,5.13719010437018,1.6365062576857696,2.0901872090090183,2.4583337475366993,1.1761308924582996
149,0,0.4267194249831691,0.16450500798238119,1.0062579773375426,0.44276855135813314,1.0118759619363307,0.44471102691701336,-0.0056179845987880395,-0.001942475558880219,2.08685639372991,2.46067459447785,1.1791298154827998,5.135074510374856,1.6360943535722017,2.0900466254832937,2.4574843627244665,1.1758036078052603
151,0,0.4268119271534511,0.164503719952392,1.0062579773375426,0.44276855135813314,1.0121032987809384,0.4446968794797653,-0.005845321443395779,-0.001928328121632128,2.0869133426507553,2.4610802915817014,1.179292039244757,5.136061297836664,1.6362865012534844,2.090108263107101,2.4578853711253554,1.1759607932804048
153,0,0.4266862886382203,0.16448450715678098,1.0062579773375426,0.44276855135813314,1.011796864717134,0.44465489574050726,-0.005538887379591406,-0.0018863443823741166,2.086800651553379,2.4605238812515196,1.1790890900000186,5.134622838558321,1.6360063915220107,2.0899944456282484,2.45733008717665,1.1757591472631792
155,0,0.42674260102981243,0.16447720257358447,1.0062579773375426,0.44276855135813314,1.01193598981501,0.44462725088091387,-0.0056780124774673535,-0.0018586995227807268,2.0868244104220923,2.460769219491793,1.1791932312091675,5.135193275650792,1.6361174815525845,2.0900226977289584,2.4575709321849257,1.1758584894103539
